掲載No,検索キーワード,商品名,金額,商品URL
1,python 本,Pythonスタートブック バージョン3に完全対応!いちばんやさしいパイソンの本,1950,https://jp.mercari.com/item/m90372806297
2,python 本,Python1年生 第2版 体験してわかる!会話でまなべる!プログラミングのし…,1800,https://jp.mercari.com/item/m63141989291
3,python 本,みんなのPython : Object Oriented-Lightweigh…,1300,https://jp.mercari.com/item/m10456989128
